DateTime, Active Energy Import (kWh)
21/03/2023 08:00:00, 0.283
21/03/2023 08:30:00, 0.082
21/03/2023 09:00:00, 0.109
21/03/2023 09:30:00, 0.201
21/03/2023 10:00:00, 0.473
21/03/2023 10:30:00, 0.162
21/03/2023 11:00:00, 0.081
21/03/2023 11:30:00, 0.083
21/03/2023 12:00:00, 0.333
21/03/2023 12:30:00, 0.481
21/03/2023 13:00:00, 0.288
21/03/2023 13:30:00, 0.226
21/03/2023 14:00:00, 0.357
21/03/2023 14:30:00, 0.353
21/03/2023 15:00:00, 0.214
21/03/2023 15:30:00, 0.502
21/03/2023 16:00:00, 0.518
21/03/2023 16:30:00, 0.165
21/03/2023 17:00:00, 0.619
21/03/2023 17:30:00, 0.826
21/03/2023 18:00:00, 0.128
21/03/2023 18:30:00, 0.111
21/03/2023 19:00:00, 0.758
21/03/2023 19:30:00, 0.663
21/03/2023 20:00:00, 0.876
21/03/2023 20:30:00, 0.551
21/03/2023 21:00:00, 0.115
21/03/2023 21:30:00, 0.123
21/03/2023 22:00:00, 0.559
21/03/2023 22:30:00, 0.172
21/03/2023 23:00:00, 0.146
21/03/2023 23:30:00, 0.575
22/03/2023 00:00:00, 0.412
22/03/2023 00:30:00, 0.144
22/03/2023 01:00:00, 0.508
22/03/2023 01:30:00, 0.327
22/03/2023 02:00:00, 0.069
22/03/2023 02:30:00, 0.402
22/03/2023 03:00:00, 0.259
22/03/2023 03:30:00, 0.056
22/03/2023 04:00:00, 0.462
22/03/2023 04:30:00, 0.191
22/03/2023 05:00:00, 0.066
22/03/2023 05:30:00, 0.56
22/03/2023 06:00:00, 0.133
22/03/2023 06:30:00, 0.048
22/03/2023 07:00:00, 0.626
22/03/2023 07:30:00, 0.207
22/03/2023 08:00:00, 0.297
22/03/2023 08:30:00, 0.106
22/03/2023 09:00:00, 0.432
22/03/2023 09:30:00, 0.154
22/03/2023 10:00:00, 0.081
22/03/2023 10:30:00, 0.071
22/03/2023 11:00:00, 0.09
22/03/2023 11:30:00, 0.189
22/03/2023 12:00:00, 0.315
22/03/2023 12:30:00, 0.038
22/03/2023 13:00:00, 0.16
22/03/2023 13:30:00, 1.03
22/03/2023 14:00:00, 2.326
22/03/2023 14:30:00, 1.067
22/03/2023 15:00:00, 0.14
22/03/2023 15:30:00, 0.626
22/03/2023 16:00:00, 1.109
22/03/2023 16:30:00, 1.939
22/03/2023 17:00:00, 1.657
22/03/2023 17:30:00, 0.892
22/03/2023 18:00:00, 0.566
22/03/2023 18:30:00, 0.976
22/03/2023 19:00:00, 1.411
22/03/2023 19:30:00, 1.941
22/03/2023 20:00:00, 1.61
22/03/2023 20:30:00, 0.53
22/03/2023 21:00:00, 0.789
22/03/2023 21:30:00, 0.214
22/03/2023 22:00:00, 0.195
22/03/2023 22:30:00, 0.801
22/03/2023 23:00:00, 0.601
22/03/2023 23:30:00, 0.653
23/03/2023 00:00:00, 0.727
23/03/2023 00:30:00, 0.767
23/03/2023 01:00:00, 0.67
23/03/2023 01:30:00, 0.527
23/03/2023 02:00:00, 0.089
23/03/2023 02:30:00, 0.22
23/03/2023 03:00:00, 0.571
23/03/2023 03:30:00, 0.077
23/03/2023 04:00:00, 0.079
23/03/2023 04:30:00, 0.631
23/03/2023 05:00:00, 0.138
23/03/2023 05:30:00, 0.067
23/03/2023 06:00:00, 0.526
23/03/2023 06:30:00, 0.255
23/03/2023 07:00:00, 0.073
23/03/2023 07:30:00, 0.083
23/03/2023 08:00:00, 0.94
23/03/2023 08:30:00, 0.063
23/03/2023 09:00:00, 0.037
23/03/2023 09:30:00, 0.047
23/03/2023 10:00:00, 0.046
23/03/2023 10:30:00, 0.057
23/03/2023 11:00:00, 0.49
23/03/2023 11:30:00, 0.198
23/03/2023 12:00:00, 0.046
23/03/2023 12:30:00, 0.034
23/03/2023 13:00:00, 0.056
23/03/2023 13:30:00, 0.044
23/03/2023 14:00:00, 0.571
23/03/2023 14:30:00, 0.079
23/03/2023 15:00:00, 0.237
23/03/2023 15:30:00, 0.452
23/03/2023 16:00:00, 0.102
23/03/2023 16:30:00, 0.392
23/03/2023 17:00:00, 0.658
23/03/2023 17:30:00, 0.371
23/03/2023 18:00:00, 0.536
23/03/2023 18:30:00, 0.77
23/03/2023 19:00:00, 0.472
23/03/2023 19:30:00, 0.684
23/03/2023 20:00:00, 0.541
23/03/2023 20:30:00, 0.706
23/03/2023 21:00:00, 0.167
23/03/2023 21:30:00, 0.247
23/03/2023 22:00:00, 0.713
23/03/2023 22:30:00, 0.186
23/03/2023 23:00:00, 0.153
23/03/2023 23:30:00, 0.708
24/03/2023 00:00:00, 0.331
24/03/2023 00:30:00, 0.204
24/03/2023 01:00:00, 0.441
24/03/2023 01:30:00, 0.567
24/03/2023 02:00:00, 0.112
24/03/2023 02:30:00, 0.114
24/03/2023 03:00:00, 0.638
24/03/2023 03:30:00, 0.177
24/03/2023 04:00:00, 0.102
24/03/2023 04:30:00, 0.459
24/03/2023 05:00:00, 0.35
24/03/2023 05:30:00, 0.082
24/03/2023 06:00:00, 0.137
24/03/2023 06:30:00, 0.671
24/03/2023 07:00:00, 0.071
24/03/2023 07:30:00, 0.611
24/03/2023 08:00:00, 0.577
24/03/2023 08:30:00, 0.657
24/03/2023 09:00:00, 0.69
24/03/2023 09:30:00, 0.395
24/03/2023 10:00:00, 0.435
24/03/2023 10:30:00, 0.439
24/03/2023 11:00:00, 0.406
24/03/2023 11:30:00, 0.702
24/03/2023 12:00:00, 0.45
24/03/2023 12:30:00, 0.355
24/03/2023 13:00:00, 0.359
24/03/2023 13:30:00, 0.44
24/03/2023 14:00:00, 0.224
24/03/2023 14:30:00, 0.92
24/03/2023 15:00:00, 0.747
24/03/2023 15:30:00, 0.201
24/03/2023 16:00:00, 0.585
24/03/2023 16:30:00, 0.527
24/03/2023 17:00:00, 0.071
24/03/2023 17:30:00, 0.089
24/03/2023 18:00:00, 1.232
24/03/2023 18:30:00, 1.913
24/03/2023 19:00:00, 2.449
24/03/2023 19:30:00, 2.123
24/03/2023 20:00:00, 3.001
24/03/2023 20:30:00, 1.893
24/03/2023 21:00:00, 2.054
24/03/2023 21:30:00, 0.699
24/03/2023 22:00:00, 0.357
24/03/2023 22:30:00, 0.608
24/03/2023 23:00:00, 0.719
24/03/2023 23:30:00, 0.741
25/03/2023 00:00:00, 1.226
25/03/2023 00:30:00, 0.824
25/03/2023 01:00:00, 0.746
25/03/2023 01:30:00, 0.463
25/03/2023 02:00:00, 0.424
25/03/2023 02:30:00, 0.407
25/03/2023 03:00:00, 0.339
25/03/2023 03:30:00, 0.388
25/03/2023 04:00:00, 0.348
25/03/2023 04:30:00, 0.752
25/03/2023 05:00:00, 0.694
25/03/2023 05:30:00, 0.178
25/03/2023 06:00:00, 0.538
25/03/2023 06:30:00, 0.428
25/03/2023 07:00:00, 0.222
25/03/2023 07:30:00, 0.646
25/03/2023 08:00:00, 0.243
25/03/2023 08:30:00, 0.348
25/03/2023 09:00:00, 0.153
25/03/2023 09:30:00, 0.271
25/03/2023 10:00:00, 2.576
25/03/2023 10:30:00, 2.147
25/03/2023 11:00:00, 2.167
25/03/2023 11:30:00, 2.227
25/03/2023 12:00:00, 1.151
25/03/2023 12:30:00, 1.308
25/03/2023 13:00:00, 1.253
25/03/2023 13:30:00, 1.25
25/03/2023 14:00:00, 1.215
25/03/2023 14:30:00, 1.311
25/03/2023 15:00:00, 1.274
25/03/2023 15:30:00, 1.297
25/03/2023 16:00:00, 1.182
25/03/2023 16:30:00, 1.692
25/03/2023 17:00:00, 1.429
25/03/2023 17:30:00, 1.283
25/03/2023 18:00:00, 1.495
25/03/2023 18:30:00, 1.369
25/03/2023 19:00:00, 1.665
25/03/2023 19:30:00, 1.974
25/03/2023 20:00:00, 0.828
25/03/2023 20:30:00, 0.79
25/03/2023 21:00:00, 0.732
25/03/2023 21:30:00, 0.67
25/03/2023 22:00:00, 0.512
25/03/2023 22:30:00, 0.462
25/03/2023 23:00:00, 0.427
25/03/2023 23:30:00, 0.244
26/03/2023 00:00:00, 0.616
